dataset,method,epoch,entropy_mean,entropy_std,weight_max_mean,weight_max_std
rotated_mnist,groupdro,1,1.0979715891373463,0.0002357352057750811,0.3416333156518447,0.0008191654491203717
rotated_mnist,groupdro,2,1.0872605702815912,0.0016042378441998334,0.37888727356226015,0.003270364775347715
rotated_mnist,groupdro,3,1.0656381035462406,0.00740409836129117,0.41073616078266734,0.0087360478396892
rotated_mnist,groupdro,4,1.040699439171033,0.011294638670141098,0.4407016783952713,0.011464688586218222
rotated_mnist,groupdro,5,1.02338856840745,0.015157705997394955,0.456388329848265,0.008703793047821215
rotated_mnist,groupdro,6,1.0066002913010428,0.018973182543089016,0.46917379093475836,0.011096107675415353
rotated_mnist,groupdro,7,0.9964615106582642,0.02228405328812465,0.4774850056721614,0.011215529173631956
rotated_mnist,groupdro,8,0.9901409026903983,0.026365277389868165,0.484576566479145,0.012151196758349692
rotated_mnist,groupdro,9,0.9860586990148593,0.028765407964432794,0.48734773313387847,0.015640815557484262
rotated_mnist,groupdro,10,0.9844192877793922,0.03224351699706048,0.4908970086238324,0.02033631707208191
rotated_mnist,groupdro,11,0.9881588358145494,0.03508651319458604,0.4915921493218495,0.020514723378653458
rotated_mnist,groupdro,12,0.9899302338942503,0.03787892518288626,0.49451393653184944,0.025777527889755084
rotated_mnist,groupdro,13,0.9953353649530655,0.03648817860045873,0.49333864526870924,0.02757631396089103
rotated_mnist,groupdro,14,1.0011645173415158,0.0394042637002088,0.4921342539481628,0.03087440586985886
rotated_mnist,groupdro,15,1.0111768222772157,0.04151270076433746,0.4868116711194698,0.03445563611707036
rotated_mnist,groupdro,16,1.0169241611774151,0.04084835014079539,0.4857067935741865,0.03530429180361421
rotated_mnist,groupdro,17,1.026309500902127,0.038686149358884044,0.47951890757450694,0.03423442543462574
rotated_mnist,groupdro,18,1.0348065205109425,0.038211954655145965,0.473281795397783,0.0385472638437855
rotated_mnist,groupdro,19,1.042170565861922,0.03691024753241036,0.4676259014851008,0.03989183495066309
rotated_mnist,groupdro,20,1.049898612193572,0.032669825169926316,0.46109978319742745,0.04120799906764674
rotated_mnist,groupdro,21,1.0557028590104518,0.03014907823996475,0.45441380525246644,0.04182498372585777
rotated_mnist,groupdro,22,1.0617799162864685,0.026589960549862658,0.4467988675221419,0.04292629672816152
rotated_mnist,groupdro,23,1.0660015528018658,0.022750695138678754,0.4416578935507016,0.04300195283043939
rotated_mnist,groupdro,24,1.0703017314275105,0.019075296320827877,0.4345780244240394,0.042405882958957995
rotated_mnist,groupdro,25,1.0734152885583732,0.016107277055265046,0.42841214094406516,0.04336427750745754
rotated_mnist,groupdro,26,1.0761170265002127,0.013193666993744786,0.42170634865760803,0.04231749511511606
rotated_mnist,groupdro,27,1.0777123524592473,0.011637131743482125,0.4173179650918031,0.04222282957036496
rotated_mnist,groupdro,28,1.0791566769282024,0.010454264784943764,0.41233786023580105,0.04186585397835527
rotated_mnist,groupdro,29,1.0799487462410562,0.009792742869209167,0.4105993818778258,0.03749498318288274
rotated_mnist,groupdro,30,1.0807336018635676,0.009367439596378783,0.4097148474210348,0.031420787801279694
rotated_mnist,ipdr_no_ent,1,0.0,0.0,1.0,0.0
rotated_mnist,ipdr_no_ent,2,0.0,0.0,1.0,0.0
rotated_mnist,ipdr_no_ent,3,0.0,0.0,1.0,0.0
rotated_mnist,ipdr_no_ent,4,0.0,0.0,1.0,0.0
rotated_mnist,ipdr_no_ent,5,0.0,0.0,1.0,0.0
rotated_mnist,ipdr_no_ent,6,0.0,0.0,1.0,0.0
rotated_mnist,ipdr_no_ent,7,0.0,0.0,1.0,0.0
rotated_mnist,ipdr_no_ent,8,0.0,0.0,1.0,0.0
rotated_mnist,ipdr_no_ent,9,0.0,0.0,1.0,0.0
rotated_mnist,ipdr_no_ent,10,0.0,0.0,1.0,0.0
rotated_mnist,ipdr_no_ent,11,0.0,0.0,1.0,0.0
rotated_mnist,ipdr_no_ent,12,0.0,0.0,1.0,0.0
rotated_mnist,ipdr_no_ent,13,0.0,0.0,1.0,0.0
rotated_mnist,ipdr_no_ent,14,0.0,0.0,1.0,0.0
rotated_mnist,ipdr_no_ent,15,0.0,0.0,1.0,0.0
rotated_mnist,ipdr_no_ent,16,0.0,0.0,1.0,0.0
rotated_mnist,ipdr_no_ent,17,0.0,0.0,1.0,0.0
rotated_mnist,ipdr_no_ent,18,0.0,0.0,1.0,0.0
rotated_mnist,ipdr_no_ent,19,0.0,0.0,1.0,0.0
rotated_mnist,ipdr_no_ent,20,0.0,0.0,1.0,0.0
rotated_mnist,ipdr_no_ent,21,0.0,0.0,1.0,0.0
rotated_mnist,ipdr_no_ent,22,0.0,0.0,1.0,0.0
rotated_mnist,ipdr_no_ent,23,0.0,0.0,1.0,0.0
rotated_mnist,ipdr_no_ent,24,0.0,0.0,1.0,0.0
rotated_mnist,ipdr_no_ent,25,0.0,0.0,1.0,0.0
rotated_mnist,ipdr_no_ent,26,0.0,0.0,1.0,0.0
rotated_mnist,ipdr_no_ent,27,0.0,0.0,1.0,0.0
rotated_mnist,ipdr_no_ent,28,0.0,0.0,1.0,0.0
rotated_mnist,ipdr_no_ent,29,0.0,0.0,1.0,0.0
rotated_mnist,ipdr_no_ent,30,0.0,0.0,1.0,0.0
rotated_mnist,ipdr,1,1.0984577032235954,4.904246918854889e-05,0.33769736993007166,0.0004403611963171153
rotated_mnist,ipdr,2,1.097958064996279,6.978839005644414e-05,0.34442194379292995,0.0007885175379106013
rotated_mnist,ipdr,3,1.0981288323035605,0.0001640503503119372,0.3428081667576081,0.000587162047079201
rotated_mnist,ipdr,4,1.0981807555907812,8.643445537343006e-05,0.34283855748482245,0.0009992139724926952
rotated_mnist,ipdr,5,1.098364620636671,5.282764575446886e-05,0.3409270277390113,0.0005516109889221615
rotated_mnist,ipdr,6,1.0983988382877448,6.033080057112166e-05,0.3404685537784528,0.0008331309988451808
rotated_mnist,ipdr,7,1.09848858607121,4.22744486733486e-05,0.33903118776969415,0.0002791662477972741
rotated_mnist,ipdr,8,1.0985016211485252,5.513156049017511e-05,0.3391684156197768,0.0011735786974689656
rotated_mnist,ipdr,9,1.0985292272690015,3.164748828906416e-05,0.3384299985109232,0.0010684275071242038
rotated_mnist,ipdr,10,1.098533176458799,3.9006374719297176e-05,0.33860987119185615,0.0012643578755159
rotated_mnist,ipdr,11,1.0985554670676208,9.4871763712617e-06,0.33784645872238356,0.00027081198994585796
rotated_mnist,ipdr,12,1.09854922691981,3.478971411429165e-05,0.338105259797512,0.0016056949206498237
rotated_mnist,ipdr,13,1.0985658566157024,3.120702610987775e-05,0.33742721569843787,0.0015478230181279315
rotated_mnist,ipdr,14,1.09856732075031,2.2836667750361535e-05,0.3372994229579583,0.0014020589312415566
rotated_mnist,ipdr,15,1.098580499490102,1.4188086880230395e-05,0.33665634156801766,0.001075733032862476
rotated_mnist,ipdr,16,1.0985711369758997,2.8119598665878738e-05,0.337176447495436,0.0015148817519651102
rotated_mnist,ipdr,17,1.0985866693349984,1.4619845927730984e-05,0.33631698634379953,0.0010151497765454422
rotated_mnist,ipdr,18,1.098586496634361,1.611225309446495e-05,0.33633658480949896,0.0013728977897006476
rotated_mnist,ipdr,19,1.0985890397658717,1.1098125962107486e-05,0.33612583119135636,0.0008650514084262371
rotated_mnist,ipdr,20,1.098591190118056,1.754824663727967e-05,0.3358884339149181,0.0013576180232544941
rotated_mnist,ipdr,21,1.0985955534837186,1.2012357448769895e-05,0.3356963025453763,0.0010276290633202548
rotated_mnist,ipdr,22,1.0985971444692366,1.0746132674853119e-05,0.33554946077175635,0.0010670744572579363
rotated_mnist,ipdr,23,1.098597112374428,1.2203489689800157e-05,0.3355630212105238,0.0010954997963164637
rotated_mnist,ipdr,24,1.0986021283345344,6.7934525825507e-06,0.3350693423014421,0.0008344703407313516
rotated_mnist,ipdr,25,1.0986032623511095,7.123229838554424e-06,0.33500046607775563,0.0009145285592089611
rotated_mnist,ipdr,26,1.0986053194755163,4.894647488335631e-06,0.3347595143012511,0.0006751619977904954
rotated_mnist,ipdr,27,1.0986060882226014,3.959129435929673e-06,0.33475601252837056,0.0006600448656571316
rotated_mnist,ipdr,28,1.0986068982344408,3.759811785441105e-06,0.3346043668496303,0.0006169602314995892
rotated_mnist,ipdr,29,1.0986072986553876,3.2643148650960326e-06,0.33458137282958395,0.00047012794737404237
rotated_mnist,ipdr,30,1.0986083807089388,2.9907602558859746e-06,0.3344382219589674,0.0005244619144888839
