dataset,method,seed,mean_acc,worst_acc,test_env_accs,test_env_losses,num_classes,epochs,weight_entropy_curve,weight_max_curve,weight_min_curve,lambda_inv,lambda_ent
rotated_mnist,ipdr,0,0.7597,0.6372,"[0.8822, 0.6372]","[0.393513426399231, 1.4518260438919068]",10,30,"[1.0982231085117047, 1.0920521250137916, 1.0861473725392268, 1.0807026303731477, 1.0811143930141742, 1.0815087740237896, 1.0840270656805773, 1.086494010228377, 1.087932866353255, 1.0890836119651794, 1.0919123246119573, 1.091991465825301, 1.0921635581896856, 1.0927806404920726, 1.093981894162985, 1.09360455091183, 1.0942737322587233, 1.0945678261610179, 1.0948387659513032, 1.094798743724823, 1.095053805754735, 1.0953298852993891, 1.095341751208672, 1.0957860763256366, 1.0959106316933265, 1.0961743226418128, 1.0964924876506512, 1.0967078117223887, 1.0968491618449872, 1.097019952077132]","[0.34033486361687, 0.3708434861439925, 0.39111505448818207, 0.4077463448047638, 0.4083000123500824, 0.4085815205023839, 0.4045811937405513, 0.4003916783974721, 0.39685855920498186, 0.39512263238430023, 0.38601381618242997, 0.38720385844890887, 0.38692603088342226, 0.3847698832933719, 0.379113298196059, 0.3808215455367015, 0.3772049741103099, 0.3756111493477455, 0.37392606414281404, 0.3737357281721555, 0.37219972106126636, 0.3706624679840528, 0.37064702350359696, 0.36741724381080043, 0.3667139961169316, 0.36479212458317095, 0.3627785455722075, 0.36120209900232464, 0.35977687629369587, 0.3585892961575435]","[0.3243273003743245, 0.28330061527398914, 0.26508285334477055, 0.25464238226413727, 0.25656151198423827, 0.2582582739683298, 0.26546749701866734, 0.27372505687750304, 0.2780695523207004, 0.2837498818452542, 0.2936240423184175, 0.2978429232652371, 0.30033525022176594, 0.30608205841137814, 0.30888947959129626, 0.30613086086053115, 0.3060472630537473, 0.3066416405714475, 0.3066877229855611, 0.3051033318042755, 0.30561940601238835, 0.30676340483702147, 0.30696490292365736, 0.30736762972978443, 0.30806151490945083, 0.3088237757866199, 0.3107271182995576, 0.3118587617690747, 0.31194652158480424, 0.31324511766433716]",0.1,0.01
rotated_mnist,ipdr,0,0.758,0.6338,"[0.8822, 0.6338]","[0.39796673383712766, 1.4671037446975708]",10,30,"[1.0983823262728178, 1.0963678314135625, 1.0965857689197247, 1.096464652281541, 1.097268847318796, 1.0974530577659607, 1.097810671879695, 1.0979592341643114, 1.0979928465989919, 1.0980349779129028, 1.0983015207143931, 1.098125301874601, 1.0981207810915434, 1.0982018388234651, 1.0983351056392376, 1.0981930998655467, 1.0983181458253126, 1.0983375585996187, 1.0983501901993384, 1.0983105760354261, 1.0983678698539734, 1.0983967185020447, 1.0983712260539715, 1.0984500050544739, 1.098445245852837, 1.0984742412200341, 1.0985033557965205, 1.0985072759481578, 1.0985145706396837, 1.098527770776015]","[0.33887355144207293, 0.35584408617936647, 0.3573713153600693, 0.3604800643829199, 0.355251567868086, 0.35392375175769514, 0.35098325518461376, 0.34972376319078297, 0.34904640913009644, 0.34900926168148333, 0.34472168523531693, 0.3479966395176374, 0.34803618719944585, 0.346765956053367, 0.34422984833900744, 0.34685179820427525, 0.34456050166716945, 0.34429302238501036, 0.34389445988031536, 0.3445844054222107, 0.3434525682375981, 0.34293409379628986, 0.3434367443506534, 0.34130257024214816, 0.3416666892858652, 0.3407934262202336, 0.3400956988334656, 0.33987304912163663, 0.3394921582478743, 0.3392085570555467]","[0.32627616822719574, 0.30370718699235183, 0.30612141352433425, 0.3073797111327832, 0.31321841134474826, 0.3149052927127251, 0.31886080365914565, 0.3216291253383343, 0.3211343070635429, 0.3228013079900008, 0.3263926849915431, 0.3249816241172644, 0.32497100073557633, 0.32548879889341503, 0.32640790710082423, 0.3249434301486382, 0.3258827638167601, 0.3266040086746216, 0.3263789965556218, 0.32540960839161504, 0.32614423219974226, 0.3269824844140273, 0.32645985369498914, 0.326921189060578, 0.32727823005272794, 0.32758302413500273, 0.32854432555345386, 0.32848723003497493, 0.3282667581851666, 0.32890827839191145]",0.1,0.05
rotated_mnist,ipdr,0,0.7621,0.6406,"[0.8836, 0.6406]","[0.3941977521419525, 1.448157776260376]",10,30,"[1.098484286895165, 1.0977990489739637, 1.0981357051776006, 1.0980610939172597, 1.0982910027870765, 1.0983338218468885, 1.0984275386883662, 1.098442948781527, 1.0984504773066595, 1.0984708208304186, 1.0985273397885835, 1.098474566753094, 1.0984835762244005, 1.0985126357812147, 1.0985423555740943, 1.098497477861551, 1.0985418695669908, 1.0985449919333825, 1.0985461060817425, 1.0985352809612567, 1.0985572063005888, 1.09856163079922, 1.0985529101811922, 1.098576742869157, 1.098572245010963, 1.098580144918882, 1.0985881319412818, 1.0985864446713374, 1.098589273599478, 1.0985933588101313]","[0.33758121041151196, 0.3471184716774867, 0.3449054452089163, 0.34711703199606675, 0.3440327128538719, 0.34342377460919893, 0.3417211312514085, 0.34145203691262466, 0.3411762210038992, 0.34101370664743275, 0.3388637269918735, 0.3409833357884334, 0.34071729618769425, 0.33986955193372875, 0.3386580233390515, 0.3403444828895422, 0.3387649105145381, 0.3387456009021172, 0.3385387636148013, 0.33898055668060595, 0.3380914949453794, 0.33794981699723464, 0.33826159284665036, 0.33698758712181676, 0.3374080669421416, 0.3368718773126602, 0.3365019170137552, 0.33650528811491454, 0.3362722167601952, 0.33609943894239575]","[0.32797689965138066, 0.31566680050813234, 0.32031925939596617, 0.32080105405587417, 0.32391796433008635, 0.3245670577654472, 0.32661697841607606, 0.3274341764358374, 0.3270392417907715, 0.32829488584628475, 0.3296740662593108, 0.32854766226731813, 0.328739175429711, 0.3293718512241657, 0.3296760836472878, 0.329053881076666, 0.32971105208763707, 0.330155339378577, 0.32978874903458816, 0.32944694276039416, 0.32996123799910915, 0.33023380316220796, 0.32988252891944003, 0.3303903788328171, 0.3304286782558148, 0.3305298594328073, 0.3311217243854816, 0.33093842290914977, 0.33086951535481673, 0.3312707359974201]",0.1,0.1
rotated_mnist,ipdr,0,0.7578,0.6344,"[0.8812, 0.6344]","[0.39631440763473513, 1.455072575569153]",10,30,"[1.0986070174437303, 1.0985972743767958, 1.098603001007667, 1.0986024920757, 1.0986057611612172, 1.0986074117513804, 1.0986083516707787, 1.0986077326994677, 1.0986089064524724, 1.0986098051071167, 1.0986094291393573, 1.0986099518262422, 1.0986098096920893, 1.0986106716669524, 1.0986105845524714, 1.0986105799674988, 1.098611043049739, 1.098611098069411, 1.0986109696901762, 1.0986110659746022, 1.0986112677134001, 1.0986112677134001, 1.0986113089781542, 1.0986115749065692, 1.0986116253412688, 1.0986117399655855, 1.0986118133251483, 1.0986117720603943, 1.0986118912696838, 1.0986120425737822]","[0.33430504684264845, 0.33523435432177323, 0.3348952061854876, 0.334996548982767, 0.3346579200946368, 0.33452899983296025, 0.3343368826004175, 0.33448684559418607, 0.33429384231567383, 0.3341799962979097, 0.3342093355380572, 0.3342170761181758, 0.3341975991542523, 0.33405714883254123, 0.3340531988785817, 0.33409958390089184, 0.33396697502869827, 0.33398576653920686, 0.33394949252788836, 0.333958143225083, 0.3338937289439715, 0.3339089693931433, 0.3338743562881763, 0.33380214067605823, 0.3338032296070686, 0.3337277105221382, 0.3337329809482281, 0.333713649557187, 0.33367944909976077, 0.33362338176140416]","[0.33225520757528454, 0.33125874400138855, 0.3317074764233369, 0.33189157568491423, 0.3321262701199605, 0.33228389574931216, 0.33230095070142013, 0.33234499394893646, 0.33239316596434665, 0.33262885075349075, 0.33262149645732, 0.3325917858343858, 0.332615002989769, 0.3327899437684279, 0.3326998364466887, 0.33277298968571883, 0.33283241666280305, 0.3328547122386786, 0.33279401178543383, 0.3328409515894376, 0.33289097020259273, 0.33286958359755003, 0.332889674947812, 0.332911702302786, 0.33295172452926636, 0.3329638196871831, 0.33302240761426777, 0.33302707970142365, 0.33304955867620617, 0.3330866281802838]",0.1,0.5
rotated_mnist,ipdr,0,0.7572,0.6322,"[0.8822, 0.6322]","[0.3964419921875, 1.4581794975280762]",10,30,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]",0.1,1.0
rotated_mnist,ipdr,0,0.762,0.6348,"[0.8892, 0.6348]","[0.35577660965919494, 1.3149915205001832]",10,30,"[1.0982414529873774, 1.0929689544897814, 1.0887017112511854, 1.0846417133624737, 1.084816405406365, 1.0854925925915058, 1.0876761904129615, 1.0895368135892427, 1.0906142454880934, 1.0913754334816566, 1.0933544314824617, 1.0932668814292321, 1.0933237442603478, 1.0937650066155653, 1.0946511809642498, 1.0943300678179815, 1.0948741252605731, 1.095186329804934, 1.0955477677858794, 1.0955780423604524, 1.095816080386822, 1.0960440773230333, 1.0961349606513977, 1.0964864492416382, 1.0967188431666448, 1.096975748355572, 1.0972383480805616, 1.0974024855173552, 1.0975382878230169, 1.0976560069964483]","[0.3402953858558948, 0.36822814551683575, 0.3842442620259065, 0.39822928263590884, 0.39912766218185425, 0.39841459347651553, 0.39476976027855504, 0.39162926375865936, 0.38902281110103315, 0.3880356034407249, 0.3808432473586156, 0.38219598738046795, 0.3821609788216077, 0.38018553990584153, 0.3753618701146199, 0.37677762714716106, 0.37348711834504056, 0.3717300628240292, 0.3693510993168904, 0.3687993081716391, 0.3672557140772159, 0.36580742780978864, 0.36534570730649507, 0.36244527766337764, 0.3608223211306792, 0.3588256136729167, 0.3567034670939812, 0.35525496762532455, 0.3537579201734983, 0.3527114609113106]","[0.32456026054345644, 0.286658383332766, 0.27203098512612855, 0.2631289695317929, 0.2644700064108922, 0.2668152623451673, 0.27425721287727356, 0.2820772643272693, 0.286522708260096, 0.2918331577227666, 0.3003771843818518, 0.3037819747741406, 0.30585590578042543, 0.30847994639323306, 0.30805535270617557, 0.30557487217279583, 0.3058415995194362, 0.3069134079493009, 0.30758252625281995, 0.30673582966511065, 0.30753615154669833, 0.30855799982180965, 0.3092682453302237, 0.30996625698529756, 0.3113093742957482, 0.3127586864508115, 0.3145182132720947, 0.31567331002308774, 0.3163048200882398, 0.3174476119188162]",0.5,0.01
rotated_mnist,ipdr,0,0.7642,0.6404,"[0.888, 0.6404]","[0.3571489956855774, 1.3076028617858886]",10,30,"[1.0983938024594233, 1.0967291180904095, 1.0971100330352783, 1.0970237163396983, 1.0975946829869196, 1.097816288471222, 1.0980873841505785, 1.098164507975945, 1.0981798355395977, 1.098186167386862, 1.0983668611599848, 1.0982280327723577, 1.0982277943537786, 1.0982908744078417, 1.0983902628605182, 1.0982817869919996, 1.0983907259427583, 1.0984063836244435, 1.0984287582910979, 1.0984109410872827, 1.098452247106112, 1.0984736451735864, 1.098467808503371, 1.0985136857399573, 1.0985240798730116, 1.0985420758907611, 1.098559388747582, 1.0985608926186194, 1.0985676737932057, 1.0985738130716176]","[0.33882752175514513, 0.3539074808359146, 0.3537201571923036, 0.35641850301852596, 0.35216838465287137, 0.3501175321065463, 0.34761175284018886, 0.34699321480897755, 0.3466539142223505, 0.3469403237104416, 0.34351911223851717, 0.34634777215810925, 0.34634285592115843, 0.3451041613633816, 0.342962913788282, 0.34524883100619685, 0.34300814454372114, 0.34278154602417577, 0.3420723562057202, 0.3424446147221785, 0.34147440699430615, 0.34095963491843295, 0.3411375880241394, 0.33945993735240054, 0.3392614286679488, 0.338636950804637, 0.33794992245160616, 0.33787542352309596, 0.33745198868788207, 0.33725932698983413]","[0.3264687107159541, 0.30605434569028706, 0.3097262795154865, 0.3107498471553509, 0.31555499136447906, 0.3177594588353084, 0.3216634942935063, 0.3239661672940621, 0.3236253731525861, 0.32507127638046557, 0.3273440725528277, 0.3260009242938115, 0.3258932954989947, 0.32577465359981245, 0.32665398716926575, 0.3254748238967015, 0.3265941200348047, 0.327280818269803, 0.3271930515766144, 0.3266321512369009, 0.32738153636455536, 0.3279627091609515, 0.3279463602946355, 0.3281604659098845, 0.3286336041413821, 0.3291908915226276, 0.32976281413665187, 0.3298322604252742, 0.32984313712670255, 0.33027606973281276]",0.5,0.05
rotated_mnist,ipdr,0,0.7632,0.6388,"[0.8876, 0.6388]","[0.35707543625831606, 1.2988012851715087]",10,30,"[1.0984909992951613, 1.0979445622517512, 1.0982725620269775, 1.098207455414992, 1.0983745088944068, 1.098428460267874, 1.0984929387386029, 1.098495717232044, 1.0985013980131884, 1.0985061113650982, 1.0985475916128893, 1.0985054923937871, 1.0985144697702849, 1.0985354735301092, 1.0985563855904799, 1.0985230482541597, 1.0985596363361065, 1.0985611218672533, 1.0985649044697101, 1.0985592603683472, 1.098574629196754, 1.098577971641834, 1.098574895125169, 1.0985895991325378, 1.0985898879858165, 1.098594803076524, 1.098599841961494, 1.0985986040188715, 1.0986012128683238, 1.0986029780828035]","[0.33753355076679814, 0.3457453090410966, 0.3429407018881578, 0.3449929528511487, 0.3424017039629129, 0.34139051804175746, 0.3400465880449002, 0.3401055083825038, 0.3399012077313203, 0.3400249549975762, 0.33819830073760104, 0.3400603521328706, 0.3397716513046852, 0.33899871087991273, 0.33802518936303944, 0.3394590077491907, 0.3379757897211955, 0.338021559210924, 0.33764645571892077, 0.3379671745575391, 0.33723201430760896, 0.3370731553206077, 0.3372399772589023, 0.33617822711284345, 0.3363426820589946, 0.3359616662447269, 0.33558066189289093, 0.33565842188321626, 0.33533694079289067, 0.33525858934109026]","[0.3281286186896838, 0.3172663232454887, 0.322274291744599, 0.32244550035550046, 0.3250616594002797, 0.3261179282115056, 0.32800997679050153, 0.3285857977775427, 0.32828083405127895, 0.32926232998187727, 0.33008750126912045, 0.32916739926888394, 0.3293170527769969, 0.3295340698498946, 0.3299211126107436, 0.32926746629751646, 0.32997427995388323, 0.330340462235304, 0.33009720192505765, 0.32992728513020736, 0.3304273199576598, 0.3306315059845264, 0.330548039995707, 0.33083002498516667, 0.3310503088510953, 0.33129579287308913, 0.33166668048271764, 0.3315640710867368, 0.33158473670482635, 0.33185996459080624]",0.5,0.1
rotated_mnist,ipdr,0,0.7623,0.6352,"[0.8894, 0.6352]","[0.35623096508979796, 1.321356375694275]",10,30,"[1.0986073246368995, 1.0986001995893626, 1.0986055731773376, 1.0986047432972834, 1.0986074621860797, 1.0986087597333467, 1.0986095666885376, 1.0986090073218713, 1.0986097546724172, 1.0986104011535645, 1.0986101168852587, 1.0986105707975535, 1.098610506607936, 1.0986110751445477, 1.0986110017849848, 1.0986110201248755, 1.0986114327724164, 1.098611478622143, 1.0986113731677716, 1.098611519886897, 1.098611620756296, 1.098611675775968, 1.098611762890449, 1.0986118958546565, 1.0986119967240553, 1.0986120471587548, 1.0986120700836182, 1.0986120563287, 1.0986121113483722, 1.0986121801229625]","[0.3342867585328909, 0.33501598697442275, 0.3346452907874034, 0.3347883763221594, 0.3344531643849153, 0.3342968191091831, 0.33416656118172866, 0.33433338426626646, 0.3341464457603601, 0.3340601749145068, 0.33409087703778195, 0.33408885162610275, 0.33406257170897263, 0.333941155901322, 0.3339417381928517, 0.33399437367916107, 0.33386633831721085, 0.3338623528297131, 0.3338449540046545, 0.33383236596217525, 0.3337824184160966, 0.33378755014676315, 0.33373598754405975, 0.33368170261383057, 0.33366181414860946, 0.33360499945970684, 0.33359838792910945, 0.333586376446944, 0.3335582178372603, 0.33351598565395063]","[0.3322866295392697, 0.33149826755890477, 0.33193670213222504, 0.3320652487186285, 0.33227848548155564, 0.33243755537729996, 0.3324660865160135, 0.3324998181599837, 0.3325371386913153, 0.3327138825104787, 0.33271827147557187, 0.33269182649942547, 0.33272268909674424, 0.33285024074407726, 0.33277442019719344, 0.3328351355515994, 0.3329133437230037, 0.33293615396206194, 0.33287768868299633, 0.33294499608186573, 0.3329758472167529, 0.33296556541552913, 0.3330035691077893, 0.33301595655771404, 0.33307355413070094, 0.3330858808297377, 0.33312661258073956, 0.3331319403189879, 0.33314175789172834, 0.3331695840908931]",0.5,0.5
rotated_mnist,ipdr,0,0.7624,0.6382,"[0.8866, 0.6382]","[0.3592007878780365, 1.3043965328216554]",10,30,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]",0.5,1.0
rotated_mnist,ipdr,0,0.7674,0.6432,"[0.8916, 0.6432]","[0.3452930026054382, 1.2711813348770142]",10,30,"[1.0982600450515747, 1.0935673805383535, 1.0897851311243498, 1.0863393957798297, 1.086558759212494, 1.0871957357113178, 1.0891876220703125, 1.09071461053995, 1.0915703177452087, 1.092187381707705, 1.0939376445916982, 1.093760779270759, 1.0938752981332631, 1.094332993030548, 1.0951362343934865, 1.0949023962020874, 1.095378380555373, 1.0956030121216407, 1.0959656880452082, 1.0960437747148366, 1.0962644127699046, 1.0964279358203595, 1.0965074025667632, 1.0968119777165926, 1.097022377527677, 1.0972324426357563, 1.0974371845905597, 1.0976019685085003, 1.0977028883420503, 1.0978085398674011]","[0.3402257091723956, 0.36625333703481233, 0.38101029052184177, 0.3932596617020093, 0.393770416195576, 0.3931290117593912, 0.3897798634492434, 0.3873689438288028, 0.38553525507450104, 0.3850204096390651, 0.3781881515796368, 0.3799182130740239, 0.37955456284376293, 0.3773032736319762, 0.3726726117042395, 0.3737903627065512, 0.37067017876184905, 0.3692967284184236, 0.3667456117960123, 0.36577591873132265, 0.3642029876892383, 0.36298644428069776, 0.3624927814190204, 0.3596598563285974, 0.3580058136811623, 0.3561961272588143, 0.3543690500351099, 0.3527119274322803, 0.35145028508626497, 0.3504891808216388]","[0.3247930407524109, 0.2890428396371695, 0.2752576894485034, 0.26689938742380875, 0.2681686717730302, 0.2705535235313269, 0.27792354501210725, 0.2850935092339149, 0.28935667413931626, 0.2945972428872035, 0.3025127122035393, 0.3055241566437941, 0.3077669854347522, 0.3096202096113792, 0.30959490973215836, 0.30770340676491076, 0.30780432315973133, 0.308556181880144, 0.3092923267529561, 0.30848351464821744, 0.30927328765392303, 0.3098995891901163, 0.3104422894807962, 0.3110612298433597, 0.3122974026661653, 0.31356828258587766, 0.3150062389098681, 0.31616929975839764, 0.31670551804395825, 0.31785852633989775]",1.0,0.01
rotated_mnist,ipdr,0,0.768,0.6432,"[0.8928, 0.6432]","[0.34595376105308534, 1.2654732118606566]",10,30,"[1.0984054574599633, 1.096951846893017, 1.0972875952720642, 1.0972673067679772, 1.0977610808152418, 1.0979516139397254, 1.0981891522040734, 1.0982386561540456, 1.0982483075215266, 1.0982534014261687, 1.0984104917599604, 1.098281511893639, 1.09829469369008, 1.0983503644283001, 1.0984343748826246, 1.0983446057026203, 1.0984243154525757, 1.098438290449289, 1.0984680239970868, 1.0984535217285156, 1.0984839292672963, 1.0984937319388757, 1.0984954696435194, 1.098535459775191, 1.0985430020552416, 1.0985571925456707, 1.0985676096035883, 1.0985723733901978, 1.0985743403434753, 1.0985812819921053]","[0.33875919993107134, 0.35251358036811536, 0.35228559833306533, 0.35412470079385316, 0.35016384491553676, 0.34838833258702206, 0.3460013556938905, 0.3457578741587125, 0.3455069110943721, 0.3458252950356557, 0.3425249491746609, 0.3454003356970273, 0.3451376316639093, 0.34392020335564244, 0.34193852085333604, 0.3440698499862964, 0.3422063485934184, 0.34198904037475586, 0.34100535626594836, 0.3412732138083531, 0.3405249141729795, 0.34028252271505505, 0.3402497103581062, 0.3386055471805426, 0.3385153172107843, 0.33789930779200333, 0.3374938598045936, 0.337173941043707, 0.33697055738705856, 0.33675879583908963]","[0.3266603419413933, 0.30760277005342335, 0.31104163137766033, 0.3121610627724574, 0.3166796060708853, 0.31890458785570586, 0.32263578130648685, 0.3246457955011955, 0.32434261647554546, 0.3258508099959447, 0.32782491124593294, 0.3265160551437965, 0.3265123115136073, 0.3264013253725492, 0.32733453810214996, 0.32631183243714845, 0.3270255269912573, 0.3276587896622144, 0.3277038232638286, 0.32704514265060425, 0.32776638521597934, 0.32807901616279894, 0.3281934536420382, 0.3285726962181238, 0.329034495812196, 0.3294270554414162, 0.32988305619129765, 0.32996914363824403, 0.3298979527675189, 0.33040790947584003]",1.0,0.05
